,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,East London,19,ZA,1590075133,28,-33.02,27.91,84.2,5.82
1,Upernavik,0,GL,1590074968,88,72.79,-56.15,33.3,6.46
2,Bloemfontein,0,ZA,1590075042,30,-29.12,26.21,68.0,5.82
3,Dikson,95,RU,1590074961,100,73.51,80.55,40.59,16.87
4,Lebu,20,CL,1590074969,56,-37.62,-73.65,54.81,2.26
5,Atuona,63,PF,1590074961,74,-9.8,-139.03,80.47,14.05
6,Pangnirtung,40,CA,1590074999,79,66.15,-65.71,21.2,5.82
7,Jamestown,1,US,1590074960,48,42.1,-79.24,64.0,12.75
8,Çay,77,TR,1590075280,41,38.59,31.03,71.89,14.76
9,Ponta do Sol,0,PT,1590075127,65,32.67,-17.1,68.0,5.99
10,Ushuaia,75,AR,1590074967,84,-54.8,-68.3,41.0,6.93
11,Castro,0,BR,1590074961,58,-24.79,-50.01,72.39,9.24
12,Port Alfred,53,ZA,1590075121,44,-33.59,26.89,73.99,4.0
13,Butaritari,9,KI,1590074960,81,3.07,172.79,82.89,15.41
14,Rozivka,100,UA,1590075281,69,46.94,35.77,56.28,6.06
15,Smiths Falls,68,CA,1590075281,28,44.9,-76.02,66.99,8.01
16,Port Lincoln,84,AU,1590075143,68,-34.73,135.87,54.73,9.04
17,Lagoa,43,PT,1590074973,65,39.05,-27.98,60.64,15.79
18,Sobolevo,100,RU,1590075281,83,54.43,31.9,41.4,7.4
19,Pringsewu,44,ID,1590075281,88,-5.36,104.97,76.66,2.15
20,Northam,98,GB,1590075281,75,51.03,-4.22,69.01,1.99
21,Rikitea,100,PF,1590074964,68,-23.12,-134.97,73.6,21.39
22,Provideniya,98,RU,1590074967,93,64.38,-173.3,31.01,13.87
23,Masallātah,7,LY,1590075281,58,32.62,14.0,70.07,22.79
24,Hilo,75,US,1590074961,83,19.73,-155.09,71.6,4.7
25,Punta Arenas,40,CL,1590075119,81,-53.15,-70.92,42.8,12.75
26,Padang,2,ID,1590075036,72,-0.95,100.35,80.85,5.5
27,Talcahuano,75,CL,1590075001,87,-36.72,-73.12,50.0,12.75
28,Kapit,100,MY,1590075281,95,2.02,112.93,75.07,2.71
29,Torbay,90,CA,1590074974,54,47.67,-52.73,57.0,21.92
30,Sørland,20,NO,1590074982,70,67.67,12.69,42.8,10.29
31,Mortka,98,RU,1590075282,68,59.33,66.02,52.72,6.44
32,Dhidhdhoo,100,MV,1590075282,88,6.88,73.1,80.49,23.96
33,Souillac,75,MU,1590074980,78,-20.52,57.52,75.2,17.22
34,Kawalu,93,ID,1590075282,92,-7.38,108.21,73.74,1.05
35,Våler,96,NO,1590075282,10,60.68,11.83,64.99,1.99
36,Takoradze,100,GH,1590074960,76,4.88,-1.76,83.41,14.16
37,Roald,75,NO,1590075269,54,62.58,6.13,55.4,9.17
38,Narsaq,20,GL,1590075282,45,60.92,-46.05,46.4,12.75
39,Tasiilaq,100,GL,1590074961,64,65.61,-37.64,35.6,2.24
40,Rocha,96,UY,1590075282,87,-34.48,-54.33,65.46,10.25
41,New Norfolk,20,AU,1590075120,78,-42.78,147.06,41.0,2.46
42,Auki,8,SB,1590075255,85,-8.77,160.7,79.12,5.19
43,Pevek,93,RU,1590074978,97,69.7,170.31,24.19,2.17
44,Leningradskiy,100,RU,1590074978,97,69.38,178.42,27.25,5.14
45,Albany,22,US,1590074962,35,42.6,-73.97,66.99,3.85
46,Busselton,0,AU,1590074962,63,-33.65,115.33,46.99,6.78
47,Bluff,91,NZ,1590074962,85,-46.6,168.33,54.19,21.7
48,Vaini,75,TO,1590074959,100,-21.2,-175.2,68.0,2.24
49,Afyonkarahisar,85,TR,1590075283,39,38.75,30.67,73.78,10.29
50,Verāval,3,IN,1590075246,75,20.9,70.37,84.49,12.35
51,Tual,63,ID,1590074979,81,-5.67,132.75,83.25,14.52
52,Nuevo Progreso,38,MX,1590075284,71,23.17,-97.95,86.0,5.99
53,Nabire,30,ID,1590074979,88,-3.37,135.48,77.86,3.42
54,Bengkulu,58,ID,1590074967,82,-3.8,102.27,79.81,4.83
55,Houma,40,US,1590075285,74,29.6,-90.72,86.0,3.36
56,Barrow,90,US,1590074967,92,71.29,-156.79,19.4,12.75
57,Hofn,6,IS,1590074973,88,64.25,-15.21,47.57,9.46
58,Yenagoa,100,NG,1590075285,82,4.92,6.26,79.66,5.64
59,Ust-Nera,100,RU,1590075286,70,64.57,143.2,38.55,4.18
60,Suntar,7,RU,1590075286,54,62.14,117.63,48.67,6.11
61,Pāvilosta,0,LV,1590075286,61,56.89,21.19,50.0,13.87
62,Gravdal,11,NO,1590075286,65,68.12,13.5,41.86,2.39
63,Mataura,100,NZ,1590074960,94,-46.19,168.86,50.92,4.0
64,Nikolayevsk-on-Amur,100,RU,1590075286,91,53.14,140.73,40.55,2.59
65,Hamilton,90,US,1590074884,77,39.18,-84.53,60.8,8.05
66,Walvis Bay,0,NA,1590075184,39,-22.96,14.51,80.6,12.75
67,Bredasdorp,3,ZA,1590074966,60,-34.53,20.04,68.0,27.51
68,Lavrentiya,76,RU,1590074970,95,65.58,-171.0,26.19,8.23
69,Airai,61,TL,1590074967,100,-8.93,125.41,60.8,3.0
70,La Ronge,90,CA,1590075287,93,55.1,-105.28,39.2,19.46
71,Egvekinot,6,RU,1590074996,96,66.32,-179.17,20.07,11.41
72,Tabuk,100,PH,1590075287,84,17.42,121.44,77.74,2.82
73,Rock Springs,90,US,1590075233,52,41.59,-109.2,46.4,29.97
74,Carnarvon,0,AU,1590074967,35,-24.87,113.63,67.95,14.85
75,North Bend,90,US,1590075260,76,43.41,-124.22,53.6,10.29
76,Tigil',2,RU,1590075287,95,57.8,158.67,30.49,3.87
77,Ahipara,6,NZ,1590074971,88,-35.17,173.17,53.22,6.73
78,Nishihara,90,JP,1590074982,93,26.18,127.76,66.2,14.99
79,Mahébourg,75,MU,1590074968,78,-20.41,57.7,75.2,17.22
80,Bauta,40,CU,1590075093,58,22.98,-82.55,86.0,6.93
81,Viedma,0,AR,1590075287,51,-40.81,-63.0,56.84,4.56
82,Cherskiy,0,RU,1590074980,90,68.75,161.3,29.68,8.12
83,Ena,75,JP,1590075287,77,35.45,137.41,60.8,1.12
84,Cedar Falls,90,US,1590075161,74,42.53,-92.45,59.0,8.05
85,Chokurdakh,100,RU,1590074972,98,70.63,147.92,22.96,4.23
86,Cochrane,90,CA,1590075103,87,51.18,-114.47,44.6,18.03
87,Nanortalik,98,GL,1590075000,84,60.14,-45.24,36.16,7.58
88,Kuznechnoye,89,RU,1590075288,57,61.12,29.87,46.0,9.35
89,Qaanaaq,100,GL,1590074962,89,77.48,-69.36,32.32,4.52
90,Mogadishu,40,SO,1590075154,66,2.04,45.34,84.2,14.99
91,Karratha,0,AU,1590074735,60,-20.74,116.85,67.41,7.43
92,Talnakh,67,RU,1590074981,54,69.49,88.4,59.0,11.18
93,Thompson,90,CA,1590074978,55,55.74,-97.86,35.6,10.29
94,Balkhash,100,KZ,1590075288,35,46.84,74.98,66.96,12.62
95,Pedernales,75,DO,1590075288,74,18.04,-71.74,86.0,14.99
96,Kapaa,90,US,1590074970,83,22.08,-159.32,75.2,13.87
97,Katherine,90,AU,1590074975,93,-14.47,132.27,66.2,4.7
98,Bambous Virieux,75,MU,1590075139,78,-20.34,57.76,75.2,17.22
99,Yerbogachën,3,RU,1590075000,54,61.28,108.01,51.48,5.14
100,Kaitangata,100,NZ,1590074968,74,-46.28,169.85,46.99,1.99
101,Yulara,100,AU,1590074992,54,-25.24,130.99,57.2,9.17
102,Tuktoyaktuk,5,CA,1590074966,74,69.45,-133.04,30.2,4.7
103,Magé,20,BR,1590075288,54,-22.65,-43.04,82.4,5.82
104,Chui,100,UY,1590074967,89,-33.7,-53.46,68.76,6.89
105,Pangody,0,RU,1590075243,49,65.85,74.49,63.43,12.37
106,Zunyi,100,CN,1590075289,94,27.69,106.91,64.89,1.66
107,Perth,0,AU,1590075037,87,-31.93,115.83,50.0,4.7
108,Shizukuishi,100,JP,1590075289,91,39.68,140.98,45.68,2.68
109,Rosarito,5,MX,1590075289,77,32.33,-117.03,64.99,6.38
110,Hobart,0,AU,1590074856,81,-42.88,147.33,42.8,6.93
111,Węgrów,44,PL,1590075289,47,52.4,22.02,55.99,14.63
112,Aklavik,5,CA,1590074976,48,68.22,-135.01,42.8,8.05
113,Notre-Dame-du-Lac,1,CA,1590075000,19,47.61,-68.8,75.99,20.8
114,Tiksi,45,RU,1590074966,98,71.69,128.87,28.18,4.68
115,Nikolskoye,90,RU,1590074960,70,59.7,30.79,44.6,8.95
116,Port Elizabeth,85,ZA,1590075035,16,-33.92,25.57,87.8,4.7
117,Puerto Ayora,20,EC,1590075130,74,-0.74,-90.35,78.8,17.22
118,Black Diamond,86,US,1590075289,79,47.31,-122.0,52.0,6.26
119,Ostrovnoy,100,RU,1590074959,86,68.05,39.51,34.72,23.49
120,Woodstock,20,CA,1590075121,45,43.13,-80.75,64.4,11.41
121,Hualmay,45,PE,1590075000,67,-11.1,-77.61,68.76,8.43
122,Gambēla,27,ET,1590075267,65,8.25,34.58,81.66,4.34
123,Yumen,39,CN,1590074979,23,40.28,97.2,73.35,8.9
124,Yellowknife,75,CA,1590074814,55,62.46,-114.35,41.0,10.29
125,Chalmette,20,US,1590075290,66,29.94,-89.96,88.0,8.05
126,San Miguel de Tucumán,90,AR,1590075144,67,-26.82,-65.22,62.6,4.7
127,Cape Town,75,ZA,1590075119,82,-33.93,18.42,64.99,9.17
128,Lexington,90,US,1590074999,82,37.99,-84.48,59.0,9.17
129,Lundazi,1,ZM,1590075258,69,-12.29,33.18,64.45,8.77
130,Victor Harbor,75,AU,1590075290,82,-35.57,138.62,52.0,7.4
131,Khatanga,22,RU,1590074976,69,71.97,102.5,57.2,8.37
132,Punto Fijo,18,VE,1590075290,60,11.7,-70.2,87.93,21.5
133,Bubaque,0,GW,1590074995,66,11.28,-15.83,79.57,12.21
134,Breyten,0,ZA,1590075216,50,-26.3,29.99,51.19,5.5
135,Gombong,73,ID,1590075290,89,-7.61,109.51,78.01,1.88
136,Kargasok,100,RU,1590074967,75,59.06,80.86,59.99,1.95
